id	stratum	type	pass	falsifying	perAdapterYield	counterExamples	falsePositives	dollarsBilled	dollarsTokenEstimate	dollarsApiEquivalent	llmCalls	wallClockMs	costCapHit	error
A1	A	property-must-hold	false	codex	codex=3	3	0	0.152490	0.152490	0.152490	1	15794	false	
A2	A	property-must-hold	false	codex	codex=3	3	0	0.151590	0.151590	0.151590	1	12708	false	
A3	A	property-must-hold	false	codex	codex=3	3	0	0.152060	0.152060	0.152060	1	13471	false	
A4	A	property-must-hold	false	codex	codex=3	3	0	0.152100	0.152100	0.152100	1	12205	false	
A5	A	property-must-hold	false	codex	codex=3	3	0	0.028840	0.028840	0.028840	1	9596	false	
A6	A	property-must-hold	false	codex	codex=3	3	0	0.149390	0.149390	0.149390	1	12810	false	
A7	A	property-must-hold	false	codex	codex=3	3	0	0.145000	0.145000	0.145000	1	10399	false	
A8	A	property-must-hold	false	codex	codex=3	3	0	0.028140	0.028140	0.028140	1	9518	false	
B1	B	property-must-hold	false	codex	codex=3	3	0	0.030400	0.030400	0.030400	1	12620	false	
B2	B	property-must-hold	false	codex	codex=3	3	0	0.028080	0.028080	0.028080	1	8745	false	
B3	B	property-must-hold	false	codex	codex=3	3	0	0.149900	0.149900	0.149900	1	10190	false	
B4	B	property-must-hold	false	codex	codex=3	3	0	0.144160	0.144160	0.144160	1	8404	false	
B5	B	property-must-hold	false	codex	codex=3	3	0	0.150930	0.150930	0.150930	1	10557	false	
B6	B	property-must-hold	true		codex=0	0	3	0.160690	0.160690	0.160690	1	28065	false	
B7	B	property-must-hold	false	codex	codex=3	3	0	0.150660	0.150660	0.150660	1	10379	false	
C1	C	property-must-hold	false	codex	codex=3	3	0	0.149280	0.149280	0.149280	1	10216	false	
C2	C	property-must-hold	true		codex=0	0	3	0.157340	0.157340	0.157340	1	221488	false	
C3	C	property-must-hold	false	codex	codex=3	3	0	0.156340	0.156340	0.156340	1	23651	false	
C4	C	property-must-hold	false	codex	codex=3	3	0	0.151200	0.151200	0.151200	1	14098	false	
C5	C	property-must-hold	false	codex	codex=3	3	0	0.146300	0.146300	0.146300	1	12332	false	
