id	stratum	type	pass	falsifying	perAdapterYield	counterExamples	falsePositives	dollarsBilled	dollarsTokenEstimate	dollarsApiEquivalent	llmCalls	wallClockMs	costCapHit	error
A1	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.326220	0.326220	0.326220	2	23783	false	
A2	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.200033	0.200033	0.200033	2	21312	false	
A3	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.210450	0.210450	0.210450	2	41472	false	
A4	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.197971	0.197971	0.197971	2	19548	false	
A5	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.200688	0.200688	0.200688	2	21837	false	
A6	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.200358	0.200358	0.200358	2	19886	false	
A7	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.216421	0.216421	0.216421	2	22182	false	
A8	A	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.197147	0.197147	0.197147	2	17993	false	
B1	B	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.197293	0.197293	0.197293	2	19087	false	
B2	B	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.197956	0.197956	0.197956	2	18154	false	
B3	B	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.075427	0.075427	0.075427	2	20720	false	
B4	B	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.198389	0.198389	0.198389	2	17513	false	
B5	B	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.202817	0.202817	0.202817	2	20638	false	
B6	B	property-must-hold	true		codex=0,claude-code=0	0	6	0.229292	0.229292	0.229292	2	44505	false	
B7	B	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.333878	0.333878	0.333878	2	16017	false	
C1	C	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.200412	0.200412	0.200412	2	21397	false	
C2	C	property-must-hold	false		codex=0,claude-code=0	0	3	0.274070	0.274070	0.274070	1	380004	false	claude-code: claude exec exceeded the 300000ms time budget; the call was killed. Increase FalsificationInput.timeBudgetMs if the obligation legitimately needs more time.
C3	C	property-must-hold	false	codex	codex=3,claude-code=0	3	3	0.333135	0.333135	0.333135	2	36037	false	
C4	C	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.206347	0.206347	0.206347	2	24049	false	
C5	C	property-must-hold	false	codex,claude-code	codex=3,claude-code=3	6	0	0.194756	0.194756	0.194756	2	17210	false	
