id	stratum	type	pass	falsifying	perAdapterYield	counterExamples	falsePositives	dollarsBilled	dollarsTokenEstimate	llmCalls	wallClockMs	costCapHit	error
I1	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	28056	false	
I2	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	15129	false	
I3	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	13845	false	
I4	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	17318	false	
I5	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	14683	false	
I6	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	30211	false	
I7	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	26324	false	
I8	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	27416	false	
I9	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	17472	false	
I10	I	import-graph-must-satisfy	false	copilot	copilot=3	3	0	0.000000	0.026000	1	24107	false	
F1	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	12004	false	
F2	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	13647	false	
F3	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	12935	false	
F4	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	11721	false	
F5	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	12993	false	
F6	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.000000	1	31382	false	
F7	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	12650	false	
F8	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.000000	1	23343	false	
F9	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	13084	false	
F10	F	function-must-have-signature	false	copilot	copilot=3	3	0	0.000000	0.026000	1	12943	false	
